Word,Count
#AppCompatTheme_windowActionModeOverlay,42
#NavigationView_itemTextAppearance,42
#CompoundButton_buttonTintMode,42
#AppCompatTheme_searchViewStyle,42
#ActionBar_elevation,42
#ActionBar_displayOptions,42
android:orderInCategory}</code></td><td></td></tr>,42
#MenuView_android_windowAnimationStyle,42
#LinearLayoutCompat_android_orientation,42
#CollapsingToolbarLayout_Layout_layout_collapseParallaxMultiplier,42
#CoordinatorLayout_Layout_layout_anchor,42
#CompoundButton_android_button,42
#NavigationView_itemTextColor,42
<tr><td><code>enterAlwaysCollapsed</code></td><td>0x8</td><td></td></tr>,42
#Toolbar_buttonGravity,42
#AppCompatTheme_actionModeStyle,42
#MenuGroup_android_checkableBehavior,42
#AppCompatTheme_windowNoTitle,42
#Spinner_android_dropDownWidth,42
#DrawerArrowToggle_arrowHeadLength,42
<tr><td><code>clip_horizontal</code></td><td>0x08</td><td></td></tr>,42
#CoordinatorLayout_statusBarBackground,42
#AppCompatTheme_actionBarTabTextStyle,42
#Spinner_popupTheme,42
#AppBarLayout_elevation,42
#ActionBar_height,42
#AppCompatTheme_spinnerDropDownItemStyle,42
#AppCompatTheme_textAppearanceSmallPopupMenu,42
<tr><td><code>all</code></td><td>0x77</td><td></td></tr>,42
#MenuItem_actionProviderClass,42
#TabLayout_tabTextColor,42
#TextInputLayout_passwordToggleTintMode,42
#ForegroundLinearLayout_android_foreground,42
#ScrimInsetsFrameLayout_insetForeground,42
#AppCompatTheme_textAppearancePopupMenuHeader,42
#AppBarLayout_Layout_layout_scrollFlags,42
android:orientation}</code></td><td></td></tr>,42
#View_android_focusable,42
#LinearLayoutCompat_measureWithLargestChild,42
#CollapsingToolbarLayout_Layout_layout_collapseMode,42
android:focusable}</code></td><td></td></tr>,42
#AppCompatTheme_buttonBarButtonStyle,42
#FloatingActionButton_useCompatPadding,42
#DesignTheme_bottomSheetDialogTheme,42
#MenuView_android_itemBackground,42
#DrawerArrowToggle_thickness,42
#AppCompatTheme_textAppearanceListItem,42
#ColorStateListItem_android_color,42
#AppCompatTheme_ratingBarStyle,42
#AppCompatTheme_actionModeWebSearchDrawable,42
<tr><td><code>never</code></td><td>0</td><td></td></tr>,42
#TextAppearance_android_textColor,42
#AppCompatTheme_editTextBackground,42
#SearchView_defaultQueryHint,42
#CardView_android_minHeight,42
#AppCompatTheme_toolbarNavigationButtonStyle,42
#AppCompatTextView_textAllCaps,42
#AppCompatTextView_autoSizeMaxTextSize,42
#CoordinatorLayout},42
#MenuItem_showAsAction,42
#AppCompatTheme_actionDropDownStyle,42
#Toolbar_titleMarginTop,42
#TabLayout_tabPadding,42
#AppCompatSeekBar_android_thumb,42
#AppCompatTheme_actionBarSize,42
#AppCompatTheme_actionModeSelectAllDrawable,42
#AppCompatTheme_windowFixedHeightMinor,42
#SearchView_suggestionRowLayout,42
#ActionBar_homeAsUpIndicator,42
#CollapsingToolbarLayout_toolbarId,42
#FloatingActionButton_backgroundTintMode,42
#AppCompatTheme_actionBarTabBarStyle,42
#Toolbar_contentInsetStartWithNavigation,42
<tr><td><code>pin</code></td><td>1</td><td></td></tr>,42
#AppCompatTheme_ratingBarStyleSmall,42
#AppCompatTextHelper_android_textAppearance,42
