File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\ViewModels\Registerable\SettingsPageViewModel.cs,16,14,8,0,2,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\ViewModels\Registerable\ToolbarControlViewModel.cs,24,18,12,0,6,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\ViewModels\Registerable\WelcomePageViewModel.cs,54,37,26,0,17,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\BluetoothPage.xaml.cs,56,45,30,1,11,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\BottlesPage.xaml.cs,52,41,25,0,11,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\DrinksPage.xaml.cs,41,34,22,0,7,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\MakeDrinkPage.xaml.cs,20,18,11,0,2,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\SettingsPage.xaml.cs,20,18,11,0,2,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\WelcomePage.xaml.cs,38,34,22,0,4,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\BluetoothPage.xaml,41,34,0,0,7,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\BottlesPage.xaml,32,28,0,0,4,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\DrinksPage.xaml,33,29,0,0,4,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\MakeDrinkPage.xaml,19,16,0,0,3,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\SettingsPage.xaml,14,13,0,0,1,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\WelcomePage.xaml,25,22,0,0,3,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\BluetoothPage.xaml.cs,56,45,30,1,11,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\BottlesPage.xaml.cs,52,41,25,0,11,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\DrinksPage.xaml.cs,41,34,22,0,7,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\MakeDrinkPage.xaml.cs,20,18,11,0,2,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\SettingsPage.xaml.cs,20,18,11,0,2,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Views\Registerable\WelcomePage.xaml.cs,38,34,22,0,4,0,0,0,0,0
